O3'     7.62    -107.37         1.48
P       7.26    -107.83         3.04           
O1P     8.52    -106.23         3.80
O2P     6.85    -118.98         3.40
O5'     6.31     -97.08         3.19
C5'     6.97     -86.93         2.65
C4'     6.15     -76.22         2.31
C3'     5.46     -68.85         3.47
C2'     4.59     -57.75         2.69
C1'     4.24     -65.30         1.33
O4'     5.20     -78.62         1.28
N1      2.83     -72.16         1.31
C6      2.88     -99.93         1.31
C5      2.20    -126.46         1.29 
C5M     3.37    -146.31         1.29
C4      0.88    -150.40         1.26
O4      1.55     157.08         1.24
N3      0.73     -32.09         1.26
C2      2.08     -44.91         1.28
O2      2.99     -26.26         1.28
